_id,sample_id,experiment_reference,experiment_id,lab,replicate,replicate_group,replicate_group_string,strain,strain_name,standard_type,control_type,media_type,inducer_type,inducer_concentration,inducer_concentration_unit,sample_contents,temperature,temperature_unit,timepoint,timepoint_unit,OD600
5bee125189f10442ca0f7eb3,sample.ginkgo.22181358.experiment.ginkgo.29649,NovelChassis-Bacillus-WT-Characterization,experiment.ginkgo.29649,ginkgo,1,ee9a613bc9af7a4e5adaab1fff7a39292ba6efea,"MediaControl | 30.0 | [22.0] | {""Dextrose (D-Glucose)"": [0.4], ""Modified M9 Media"": [1.0]} | PLATE_READER | NO_STANDARD_TYPE",MediaControl,Media_control,,BASELINE_MEDIA_PR,Modified M9 Media,,,,"['Dextrose (D-Glucose)|0.4|%', 'Modified M9 Media|1.0|X']",30.0,celsius,22.0,hour,
5bee125189f10442ca0f7eb3,sample.ginkgo.22181358.experiment.ginkgo.29649,NovelChassis-Bacillus-WT-Characterization,experiment.ginkgo.29649,ginkgo,1,ee9a613bc9af7a4e5adaab1fff7a39292ba6efea,"MediaControl | 30.0 | [22.0] | {""Dextrose (D-Glucose)"": [0.4], ""Modified M9 Media"": [1.0]} | PLATE_READER | NO_STANDARD_TYPE",MediaControl,Media_control,,BASELINE_MEDIA_PR,Modified M9 Media,,,,"['Dextrose (D-Glucose)|0.4|%', 'Modified M9 Media|1.0|X']",30.0,celsius,22.0,hour,
5bee125189f10442ca0f7eb3,sample.ginkgo.22181359.experiment.ginkgo.29649,NovelChassis-Bacillus-WT-Characterization,experiment.ginkgo.29649,ginkgo,2,ee9a613bc9af7a4e5adaab1fff7a39292ba6efea,"MediaControl | 30.0 | [22.0] | {""Dextrose (D-Glucose)"": [0.4], ""Modified M9 Media"": [1.0]} | PLATE_READER | NO_STANDARD_TYPE",MediaControl,Media_control,,BASELINE_MEDIA_PR,Modified M9 Media,,,,"['Dextrose (D-Glucose)|0.4|%', 'Modified M9 Media|1.0|X']",30.0,celsius,22.0,hour,
5bee125189f10442ca0f7eb3,sample.ginkgo.22181359.experiment.ginkgo.29649,NovelChassis-Bacillus-WT-Characterization,experiment.ginkgo.29649,ginkgo,2,ee9a613bc9af7a4e5adaab1fff7a39292ba6efea,"MediaControl | 30.0 | [22.0] | {""Dextrose (D-Glucose)"": [0.4], ""Modified M9 Media"": [1.0]} | PLATE_READER | NO_STANDARD_TYPE",MediaControl,Media_control,,BASELINE_MEDIA_PR,Modified M9 Media,,,,"['Dextrose (D-Glucose)|0.4|%', 'Modified M9 Media|1.0|X']",30.0,celsius,22.0,hour,
5bee125189f10442ca0f7eb3,sample.ginkgo.22181360.experiment.ginkgo.29649,NovelChassis-Bacillus-WT-Characterization,experiment.ginkgo.29649,ginkgo,3,ee9a613bc9af7a4e5adaab1fff7a39292ba6efea,"MediaControl | 30.0 | [22.0] | {""Dextrose (D-Glucose)"": [0.4], ""Modified M9 Media"": [1.0]} | PLATE_READER | NO_STANDARD_TYPE",MediaControl,Media_control,,BASELINE_MEDIA_PR,Modified M9 Media,,,,"['Dextrose (D-Glucose)|0.4|%', 'Modified M9 Media|1.0|X']",30.0,celsius,22.0,hour,
5bee125189f10442ca0f7eb3,sample.ginkgo.22181360.experiment.ginkgo.29649,NovelChassis-Bacillus-WT-Characterization,experiment.ginkgo.29649,ginkgo,3,ee9a613bc9af7a4e5adaab1fff7a39292ba6efea,"MediaControl | 30.0 | [22.0] | {""Dextrose (D-Glucose)"": [0.4], ""Modified M9 Media"": [1.0]} | PLATE_READER | NO_STANDARD_TYPE",MediaControl,Media_control,,BASELINE_MEDIA_PR,Modified M9 Media,,,,"['Dextrose (D-Glucose)|0.4|%', 'Modified M9 Media|1.0|X']",30.0,celsius,22.0,hour,
5bee125189f10442ca0f7eb3,sample.ginkgo.22181361.experiment.ginkgo.29649,NovelChassis-Bacillus-WT-Characterization,experiment.ginkgo.29649,ginkgo,4,ee9a613bc9af7a4e5adaab1fff7a39292ba6efea,"MediaControl | 30.0 | [22.0] | {""Dextrose (D-Glucose)"": [0.4], ""Modified M9 Media"": [1.0]} | PLATE_READER | NO_STANDARD_TYPE",MediaControl,Media_control,,BASELINE_MEDIA_PR,Modified M9 Media,,,,"['Dextrose (D-Glucose)|0.4|%', 'Modified M9 Media|1.0|X']",30.0,celsius,22.0,hour,
5bee125189f10442ca0f7eb3,sample.ginkgo.22181361.experiment.ginkgo.29649,NovelChassis-Bacillus-WT-Characterization,experiment.ginkgo.29649,ginkgo,4,ee9a613bc9af7a4e5adaab1fff7a39292ba6efea,"MediaControl | 30.0 | [22.0] | {""Dextrose (D-Glucose)"": [0.4], ""Modified M9 Media"": [1.0]} | PLATE_READER | NO_STANDARD_TYPE",MediaControl,Media_control,,BASELINE_MEDIA_PR,Modified M9 Media,,,,"['Dextrose (D-Glucose)|0.4|%', 'Modified M9 Media|1.0|X']",30.0,celsius,22.0,hour,
5bee125189f10442ca0f7eb3,sample.ginkgo.22181362.experiment.ginkgo.29649,NovelChassis-Bacillus-WT-Characterization,experiment.ginkgo.29649,ginkgo,1,2d5da74bcfff4e714ab3b89b541d790bc20b3db2,"Bacillus subtilis 168 Marburg | 30.0 | [22.0] | {""Dextrose (D-Glucose)"": [0.10074813], ""Modified M9 Media"": [1.0], ""e3257 (1X LB)"": [""""], ""e4070 (25% Glycerol w/v)"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",Bacillus subtilis 168 Marburg,,,,Modified M9 Media,,,,"['Dextrose (D-Glucose)|0.10074813|%', 'Modified M9 Media|1.0|X', 'e3257 (1X LB)|NA|NA', 'e4070 (25% Glycerol w/v)|NA|NA']",30.0,celsius,22.0,hour,1.451
5bee125189f10442ca0f7eb3,sample.ginkgo.22181362.experiment.ginkgo.29649,NovelChassis-Bacillus-WT-Characterization,experiment.ginkgo.29649,ginkgo,1,2d5da74bcfff4e714ab3b89b541d790bc20b3db2,"Bacillus subtilis 168 Marburg | 30.0 | [22.0] | {""Dextrose (D-Glucose)"": [0.10074813], ""Modified M9 Media"": [1.0], ""e3257 (1X LB)"": [""""], ""e4070 (25% Glycerol w/v)"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",Bacillus subtilis 168 Marburg,,,,Modified M9 Media,,,,"['Dextrose (D-Glucose)|0.10074813|%', 'Modified M9 Media|1.0|X', 'e3257 (1X LB)|NA|NA', 'e4070 (25% Glycerol w/v)|NA|NA']",30.0,celsius,22.0,hour,1.451
