_id,sample_id,experiment_reference,experiment_id,lab,replicate,replicate_group,replicate_group_string,strain,strain_name,standard_type,control_type,media_type,inducer_type,inducer_concentration,inducer_concentration_unit,sample_contents,temperature,temperature_unit,timepoint,timepoint_unit,reference_sample_id,CFU,culture_cells/ml,estimated_cells_plated,estimated_cells/ml,percent_killed,date_of_experiment
5f638bac3f8a63bea4940a9c,sample.duke_haase.07f29340f8ed11eabb87acde48001122.experiment.duke_haase.ethanol_20200911_CFU,Duke-YeastSTATES-Ethanol-Time-Series-LiveDeadClassification,experiment.duke_haase.ethanol_20200911_CFU,duke_haase,1,c66e9088692db685cc0f1f27c40cf3d2f19a03d2,"S288c_a | 22.0 | [0.5] | {""Ethanol"": [15.0], ""Media"": [""YEPD""]} | CFU | NO_STANDARD_TYPE",S288c_a,S288c_Mat-A,,,,Ethanol,15.0,%,"['Ethanol|15.0|%', 'Media|YEPD|NA']",22.0,celsius,0.5,hour,sample.duke_haase.07f3d570f8ed11eabb87acde48001122.experiment.duke_haase.ethanol_20200911_CFU,137,11800000,303,5343000,54.72,20200911
5f638bac3f8a63bea4940a9c,sample.duke_haase.07f29a5cf8ed11eabb87acde48001122.experiment.duke_haase.ethanol_20200911_CFU,Duke-YeastSTATES-Ethanol-Time-Series-LiveDeadClassification,experiment.duke_haase.ethanol_20200911_CFU,duke_haase,2,c66e9088692db685cc0f1f27c40cf3d2f19a03d2,"S288c_a | 22.0 | [0.5] | {""Ethanol"": [15.0], ""Media"": [""YEPD""]} | CFU | NO_STANDARD_TYPE",S288c_a,S288c_Mat-A,,,,Ethanol,15.0,%,"['Ethanol|15.0|%', 'Media|YEPD|NA']",22.0,celsius,0.5,hour,sample.duke_haase.07f3d570f8ed11eabb87acde48001122.experiment.duke_haase.ethanol_20200911_CFU,191,11800000,303,7449000,36.87,20200911
5f638bac3f8a63bea4940a9c,sample.duke_haase.07f29fe8f8ed11eabb87acde48001122.experiment.duke_haase.ethanol_20200911_CFU,Duke-YeastSTATES-Ethanol-Time-Series-LiveDeadClassification,experiment.duke_haase.ethanol_20200911_CFU,duke_haase,3,c66e9088692db685cc0f1f27c40cf3d2f19a03d2,"S288c_a | 22.0 | [0.5] | {""Ethanol"": [15.0], ""Media"": [""YEPD""]} | CFU | NO_STANDARD_TYPE",S288c_a,S288c_Mat-A,,,,Ethanol,15.0,%,"['Ethanol|15.0|%', 'Media|YEPD|NA']",22.0,celsius,0.5,hour,sample.duke_haase.07f3d570f8ed11eabb87acde48001122.experiment.duke_haase.ethanol_20200911_CFU,44,11800000,303,1716000,85.46,20200911
5f638bac3f8a63bea4940a9c,sample.duke_haase.07f2a54cf8ed11eabb87acde48001122.experiment.duke_haase.ethanol_20200911_CFU,Duke-YeastSTATES-Ethanol-Time-Series-LiveDeadClassification,experiment.duke_haase.ethanol_20200911_CFU,duke_haase,1,ee790e0387c4ca714a29ad64ea7edbaaf6d1f34b,"S288c_a | 22.0 | [1.0] | {""Ethanol"": [15.0], ""Media"": [""YEPD""]} | CFU | NO_STANDARD_TYPE",S288c_a,S288c_Mat-A,,,,Ethanol,15.0,%,"['Ethanol|15.0|%', 'Media|YEPD|NA']",22.0,celsius,1.0,hour,sample.duke_haase.07f3f1a4f8ed11eabb87acde48001122.experiment.duke_haase.ethanol_20200911_CFU,211,13200000,305,9143333,30.73,20200911
5f638bac3f8a63bea4940a9c,sample.duke_haase.07f2aa9cf8ed11eabb87acde48001122.experiment.duke_haase.ethanol_20200911_CFU,Duke-YeastSTATES-Ethanol-Time-Series-LiveDeadClassification,experiment.duke_haase.ethanol_20200911_CFU,duke_haase,2,ee790e0387c4ca714a29ad64ea7edbaaf6d1f34b,"S288c_a | 22.0 | [1.0] | {""Ethanol"": [15.0], ""Media"": [""YEPD""]} | CFU | NO_STANDARD_TYPE",S288c_a,S288c_Mat-A,,,,Ethanol,15.0,%,"['Ethanol|15.0|%', 'Media|YEPD|NA']",22.0,celsius,1.0,hour,sample.duke_haase.07f3f1a4f8ed11eabb87acde48001122.experiment.duke_haase.ethanol_20200911_CFU,191,13200000,305,8276666,37.3,20200911
5f638bac3f8a63bea4940a9c,sample.duke_haase.07f2afecf8ed11eabb87acde48001122.experiment.duke_haase.ethanol_20200911_CFU,Duke-YeastSTATES-Ethanol-Time-Series-LiveDeadClassification,experiment.duke_haase.ethanol_20200911_CFU,duke_haase,3,ee790e0387c4ca714a29ad64ea7edbaaf6d1f34b,"S288c_a | 22.0 | [1.0] | {""Ethanol"": [15.0], ""Media"": [""YEPD""]} | CFU | NO_STANDARD_TYPE",S288c_a,S288c_Mat-A,,,,Ethanol,15.0,%,"['Ethanol|15.0|%', 'Media|YEPD|NA']",22.0,celsius,1.0,hour,sample.duke_haase.07f3f1a4f8ed11eabb87acde48001122.experiment.duke_haase.ethanol_20200911_CFU,192,13200000,305,8319999,36.97,20200911
5f638bac3f8a63bea4940a9c,sample.duke_haase.07f2b53cf8ed11eabb87acde48001122.experiment.duke_haase.ethanol_20200911_CFU,Duke-YeastSTATES-Ethanol-Time-Series-LiveDeadClassification,experiment.duke_haase.ethanol_20200911_CFU,duke_haase,1,307ef4cdf5e5783477e291497fde174b634b3412,"S288c_a | 22.0 | [1.5] | {""Ethanol"": [15.0], ""Media"": [""YEPD""]} | CFU | NO_STANDARD_TYPE",S288c_a,S288c_Mat-A,,,,Ethanol,15.0,%,"['Ethanol|15.0|%', 'Media|YEPD|NA']",22.0,celsius,1.5,hour,sample.duke_haase.07f404c8f8ed11eabb87acde48001122.experiment.duke_haase.ethanol_20200911_CFU,8,19900000,306,520000,97.39,20200911
5f638bac3f8a63bea4940a9c,sample.duke_haase.07f2ba82f8ed11eabb87acde48001122.experiment.duke_haase.ethanol_20200911_CFU,Duke-YeastSTATES-Ethanol-Time-Series-LiveDeadClassification,experiment.duke_haase.ethanol_20200911_CFU,duke_haase,2,307ef4cdf5e5783477e291497fde174b634b3412,"S288c_a | 22.0 | [1.5] | {""Ethanol"": [15.0], ""Media"": [""YEPD""]} | CFU | NO_STANDARD_TYPE",S288c_a,S288c_Mat-A,,,,Ethanol,15.0,%,"['Ethanol|15.0|%', 'Media|YEPD|NA']",22.0,celsius,1.5,hour,sample.duke_haase.07f404c8f8ed11eabb87acde48001122.experiment.duke_haase.ethanol_20200911_CFU,5,19900000,306,325000,98.37,20200911
5f638bac3f8a63bea4940a9c,sample.duke_haase.07f2bfd2f8ed11eabb87acde48001122.experiment.duke_haase.ethanol_20200911_CFU,Duke-YeastSTATES-Ethanol-Time-Series-LiveDeadClassification,experiment.duke_haase.ethanol_20200911_CFU,duke_haase,3,307ef4cdf5e5783477e291497fde174b634b3412,"S288c_a | 22.0 | [1.5] | {""Ethanol"": [15.0], ""Media"": [""YEPD""]} | CFU | NO_STANDARD_TYPE",S288c_a,S288c_Mat-A,,,,Ethanol,15.0,%,"['Ethanol|15.0|%', 'Media|YEPD|NA']",22.0,celsius,1.5,hour,sample.duke_haase.07f404c8f8ed11eabb87acde48001122.experiment.duke_haase.ethanol_20200911_CFU,11,19900000,306,715000,96.41,20200911
5f638bac3f8a63bea4940a9c,sample.duke_haase.07f2c518f8ed11eabb87acde48001122.experiment.duke_haase.ethanol_20200911_CFU,Duke-YeastSTATES-Ethanol-Time-Series-LiveDeadClassification,experiment.duke_haase.ethanol_20200911_CFU,duke_haase,1,b0665bdc5605029bfd392e5fbc5ccfeac4d7388b,"S288c_a | 22.0 | [2.0] | {""Ethanol"": [15.0], ""Media"": [""YEPD""]} | CFU | NO_STANDARD_TYPE",S288c_a,S288c_Mat-A,,,,Ethanol,15.0,%,"['Ethanol|15.0|%', 'Media|YEPD|NA']",22.0,celsius,2.0,hour,sample.duke_haase.07f41788f8ed11eabb87acde48001122.experiment.duke_haase.ethanol_20200911_CFU,1,22600000,309,73125,99.68,20200911
5f638bac3f8a63bea4940a9c,sample.duke_haase.07f2ca68f8ed11eabb87acde48001122.experiment.duke_haase.ethanol_20200911_CFU,Duke-YeastSTATES-Ethanol-Time-Series-LiveDeadClassification,experiment.duke_haase.ethanol_20200911_CFU,duke_haase,2,b0665bdc5605029bfd392e5fbc5ccfeac4d7388b,"S288c_a | 22.0 | [2.0] | {""Ethanol"": [15.0], ""Media"": [""YEPD""]} | CFU | NO_STANDARD_TYPE",S288c_a,S288c_Mat-A,,,,Ethanol,15.0,%,"['Ethanol|15.0|%', 'Media|YEPD|NA']",22.0,celsius,2.0,hour,sample.duke_haase.07f41788f8ed11eabb87acde48001122.experiment.duke_haase.ethanol_20200911_CFU,8,22600000,309,585000,97.41,20200911
