_id,sample_id,experiment_reference,experiment_id,lab,replicate,replicate_group,replicate_group_string,strain,strain_name,standard_type,control_type,media_type,inducer_type,inducer_concentration,inducer_concentration_unit,sample_contents,temperature,temperature_unit,timepoint,timepoint_unit,aliquot_id,flow_rate_uL/min,date_of_experiment,TX_plate_name,TX_project_name,TX_sample_name,total_counts,flow_volume,cells/mL
5f4944f14cdb4c31a9d69c78,sample.duke_haase.89172460e95a11eaa54bacde48001122.experiment.duke_haase.ethanol_20200826_FLOW,Duke-YeastSTATES-Ethanol-Time-Series-LiveDeadClassification,experiment.duke_haase.ethanol_20200826_FLOW,duke_haase,1,666b6eebaca1bd861412b3ec5308f741f2fe0ded,"S288c_a | 22.0 | [0.5] | {""Ethanol"": [12.5], ""Media"": [""YEPD""], ""Sytox"": [250.0], ""Sytox_color"": [""orange""]} | FLOW | NO_STANDARD_TYPE",S288c_a,S288c_Mat-A,,,,Ethanol,12.5,%,"['Ethanol|12.5|%', 'Media|YEPD|NA', 'Sytox_color|orange|NA', 'Sytox|250.0|nM']",22.0,celsius,0.5,hour,,25,26-Aug-2020,NA,live_dead_ethanol_08262020,S288c,30000,48000,625000.0
5f494501b0a32058fb1906e7,sample.duke_haase.89172b5ee95a11eaa54bacde48001122.experiment.duke_haase.ethanol_20200826_FLOW,Duke-YeastSTATES-Ethanol-Time-Series-LiveDeadClassification,experiment.duke_haase.ethanol_20200826_FLOW,duke_haase,1,a4691dd5c5f067e627e64743b0954605680b9178,"S288c_a | 22.0 | [1.0] | {""Ethanol"": [12.5], ""Media"": [""YEPD""], ""Sytox"": [250.0], ""Sytox_color"": [""orange""]} | FLOW | NO_STANDARD_TYPE",S288c_a,S288c_Mat-A,,,,Ethanol,12.5,%,"['Ethanol|12.5|%', 'Media|YEPD|NA', 'Sytox_color|orange|NA', 'Sytox|250.0|nM']",22.0,celsius,1.0,hour,,100,26-Aug-2020,NA,live_dead_ethanol_08262020,S288c,30000,44000,681818.18182
5f494511b7ad216718dfb8f7,sample.duke_haase.891730eae95a11eaa54bacde48001122.experiment.duke_haase.ethanol_20200826_FLOW,Duke-YeastSTATES-Ethanol-Time-Series-LiveDeadClassification,experiment.duke_haase.ethanol_20200826_FLOW,duke_haase,1,be8dbacdd7b20861aa3642c20116c6a3ad516344,"S288c_a | 22.0 | [1.5] | {""Ethanol"": [12.5], ""Media"": [""YEPD""], ""Sytox"": [250.0], ""Sytox_color"": [""orange""]} | FLOW | NO_STANDARD_TYPE",S288c_a,S288c_Mat-A,,,,Ethanol,12.5,%,"['Ethanol|12.5|%', 'Media|YEPD|NA', 'Sytox_color|orange|NA', 'Sytox|250.0|nM']",22.0,celsius,1.5,hour,,100,26-Aug-2020,NA,live_dead_ethanol_08262020,S288c,30000,44000,681818.18182
5f494520af3ae5f3ab0918d0,sample.duke_haase.8917364ee95a11eaa54bacde48001122.experiment.duke_haase.ethanol_20200826_FLOW,Duke-YeastSTATES-Ethanol-Time-Series-LiveDeadClassification,experiment.duke_haase.ethanol_20200826_FLOW,duke_haase,1,be4a52a35c29ec1f2ff84c496ea277c5920db2a1,"S288c_a | 22.0 | [2.0] | {""Ethanol"": [12.5], ""Media"": [""YEPD""], ""Sytox"": [250.0], ""Sytox_color"": [""orange""]} | FLOW | NO_STANDARD_TYPE",S288c_a,S288c_Mat-A,,,,Ethanol,12.5,%,"['Ethanol|12.5|%', 'Media|YEPD|NA', 'Sytox_color|orange|NA', 'Sytox|250.0|nM']",22.0,celsius,2.0,hour,,100,26-Aug-2020,NA,live_dead_ethanol_08262020,S288c,30000,44000,681818.18182
5f4945311a897bbc3e4c6005,sample.duke_haase.89173b9ee95a11eaa54bacde48001122.experiment.duke_haase.ethanol_20200826_FLOW,Duke-YeastSTATES-Ethanol-Time-Series-LiveDeadClassification,experiment.duke_haase.ethanol_20200826_FLOW,duke_haase,1,185e4080fd433b90a6f41b5b693a0040881143e5,"S288c_a | 22.0 | [2.5] | {""Ethanol"": [12.5], ""Media"": [""YEPD""], ""Sytox"": [250.0], ""Sytox_color"": [""orange""]} | FLOW | NO_STANDARD_TYPE",S288c_a,S288c_Mat-A,,,,Ethanol,12.5,%,"['Ethanol|12.5|%', 'Media|YEPD|NA', 'Sytox_color|orange|NA', 'Sytox|250.0|nM']",22.0,celsius,2.5,hour,,100,26-Aug-2020,NA,live_dead_ethanol_08262020,S288c,30000,46000,652173.91304
5f494541a5829f025aa5919a,sample.duke_haase.8917413ee95a11eaa54bacde48001122.experiment.duke_haase.ethanol_20200826_FLOW,Duke-YeastSTATES-Ethanol-Time-Series-LiveDeadClassification,experiment.duke_haase.ethanol_20200826_FLOW,duke_haase,1,37413507de305f9b594497ef40b418e67e69149f,"S288c_a | 22.0 | [3.0] | {""Ethanol"": [12.5], ""Media"": [""YEPD""], ""Sytox"": [250.0], ""Sytox_color"": [""orange""]} | FLOW | NO_STANDARD_TYPE",S288c_a,S288c_Mat-A,,,,Ethanol,12.5,%,"['Ethanol|12.5|%', 'Media|YEPD|NA', 'Sytox_color|orange|NA', 'Sytox|250.0|nM']",22.0,celsius,3.0,hour,,100,26-Aug-2020,NA,live_dead_ethanol_08262020,S288c,30000,44000,681818.18182
5f4945519ef426431b6df506,sample.duke_haase.89174738e95a11eaa54bacde48001122.experiment.duke_haase.ethanol_20200826_FLOW,Duke-YeastSTATES-Ethanol-Time-Series-LiveDeadClassification,experiment.duke_haase.ethanol_20200826_FLOW,duke_haase,1,850aab633ead3f3cadc989140ac20c84a8155185,"S288c_a | 22.0 | [3.5] | {""Ethanol"": [12.5], ""Media"": [""YEPD""], ""Sytox"": [250.0], ""Sytox_color"": [""orange""]} | FLOW | NO_STANDARD_TYPE",S288c_a,S288c_Mat-A,,,,Ethanol,12.5,%,"['Ethanol|12.5|%', 'Media|YEPD|NA', 'Sytox_color|orange|NA', 'Sytox|250.0|nM']",22.0,celsius,3.5,hour,,100,26-Aug-2020,NA,live_dead_ethanol_08262020,S288c,30000,43000,697674.4186
5f4945611a80a51030b57d49,sample.duke_haase.89174cb0e95a11eaa54bacde48001122.experiment.duke_haase.ethanol_20200826_FLOW,Duke-YeastSTATES-Ethanol-Time-Series-LiveDeadClassification,experiment.duke_haase.ethanol_20200826_FLOW,duke_haase,1,4c44dbe92de79cf7106bf076fda83899b820e0c1,"S288c_a | 22.0 | [4.0] | {""Ethanol"": [12.5], ""Media"": [""YEPD""], ""Sytox"": [250.0], ""Sytox_color"": [""orange""]} | FLOW | NO_STANDARD_TYPE",S288c_a,S288c_Mat-A,,,,Ethanol,12.5,%,"['Ethanol|12.5|%', 'Media|YEPD|NA', 'Sytox_color|orange|NA', 'Sytox|250.0|nM']",22.0,celsius,4.0,hour,,100,26-Aug-2020,NA,live_dead_ethanol_08262020,S288c,30000,43000,697674.4186
5f49457012b813fe5690a188,sample.duke_haase.8917520ae95a11eaa54bacde48001122.experiment.duke_haase.ethanol_20200826_FLOW,Duke-YeastSTATES-Ethanol-Time-Series-LiveDeadClassification,experiment.duke_haase.ethanol_20200826_FLOW,duke_haase,1,4f4d908f3b1bda289215abffad9739d9a8bf92cb,"S288c_a | 22.0 | [4.5] | {""Ethanol"": [12.5], ""Media"": [""YEPD""], ""Sytox"": [250.0], ""Sytox_color"": [""orange""]} | FLOW | NO_STANDARD_TYPE",S288c_a,S288c_Mat-A,,,,Ethanol,12.5,%,"['Ethanol|12.5|%', 'Media|YEPD|NA', 'Sytox_color|orange|NA', 'Sytox|250.0|nM']",22.0,celsius,4.5,hour,,100,26-Aug-2020,NA,live_dead_ethanol_08262020,S288c,30000,44000,681818.18182
5f49457b5a41f53a71381c7f,sample.duke_haase.8917575ae95a11eaa54bacde48001122.experiment.duke_haase.ethanol_20200826_FLOW,Duke-YeastSTATES-Ethanol-Time-Series-LiveDeadClassification,experiment.duke_haase.ethanol_20200826_FLOW,duke_haase,1,f7600ac349fb23a481e640c3f1df36645c4d56c6,"S288c_a | 22.0 | [5.0] | {""Ethanol"": [12.5], ""Media"": [""YEPD""], ""Sytox"": [250.0], ""Sytox_color"": [""orange""]} | FLOW | NO_STANDARD_TYPE",S288c_a,S288c_Mat-A,,,,Ethanol,12.5,%,"['Ethanol|12.5|%', 'Media|YEPD|NA', 'Sytox_color|orange|NA', 'Sytox|250.0|nM']",22.0,celsius,5.0,hour,,100,26-Aug-2020,NA,live_dead_ethanol_08262020,S288c,30000,42000,714285.71429
