sample_id,experiment_id,aliquot_id,channel,mean_log10,std_log10,bin(log10)_0.05,bin(log10)_0.15,bin(log10)_0.25,bin(log10)_0.35,bin(log10)_0.45,bin(log10)_0.55,bin(log10)_0.65,bin(log10)_0.75,bin(log10)_0.85,bin(log10)_0.95,bin(log10)_1.05,bin(log10)_1.15,bin(log10)_1.25,bin(log10)_1.35,bin(log10)_1.45,bin(log10)_1.55,bin(log10)_1.65,bin(log10)_1.75,bin(log10)_1.85,bin(log10)_1.95,bin(log10)_2.05,bin(log10)_2.15,bin(log10)_2.25,bin(log10)_2.35,bin(log10)_2.45,bin(log10)_2.55,bin(log10)_2.65,bin(log10)_2.75,bin(log10)_2.85,bin(log10)_2.95,bin(log10)_3.05,bin(log10)_3.15,bin(log10)_3.25,bin(log10)_3.35,bin(log10)_3.45,bin(log10)_3.55,bin(log10)_3.65,bin(log10)_3.75,bin(log10)_3.85,bin(log10)_3.95,bin(log10)_4.05,bin(log10)_4.15,bin(log10)_4.25,bin(log10)_4.35,bin(log10)_4.45,bin(log10)_4.55,bin(log10)_4.65,bin(log10)_4.75,bin(log10)_4.85,bin(log10)_4.95,bin(log10)_5.05,bin(log10)_5.15,bin(log10)_5.25,bin(log10)_5.35,bin(log10)_5.45,bin(log10)_5.55,bin(log10)_5.65,bin(log10)_5.75,bin(log10)_5.85,bin(log10)_5.95,bin(log10)_6.05,bin(log10)_6.15,bin(log10)_6.25,bin(log10)_6.35,bin(log10)_6.45,bin(log10)_6.55,bin(log10)_6.65,bin(log10)_6.75,bin(log10)_6.85,bin(log10)_6.95,bin(log10)_7.05
sample.duke_haase.89172460e95a11eaa54bacde48001122.experiment.duke_haase.ethanol_20200826_FLOW,experiment.duke_haase.ethanol_20200826_FLOW,,FSC-A,5.637549877166748,0.2369299978017807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,34,30,39,34,56,39,118,423,1258,2543,3604,5116,4920,3625,3423,2480,2249,0,0,0,0,0,0,0,0,0
sample.duke_haase.89172460e95a11eaa54bacde48001122.experiment.duke_haase.ethanol_20200826_FLOW,experiment.duke_haase.ethanol_20200826_FLOW,,SSC-A,5.592639923095703,0.3239699900150299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,1,1,0,1,3,0,1,0,1,0,0,0,0,0,0,3,3,1,3,1,3,3,9,22,78,162,285,450,758,1382,2512,3271,3147,2858,2762,2705,2727,2354,4476,0,0,0,0,0,0,0,0,0
sample.duke_haase.89172460e95a11eaa54bacde48001122.experiment.duke_haase.ethanol_20200826_FLOW,experiment.duke_haase.ethanol_20200826_FLOW,,BL1-A,2.8849499225616455,0.4515799880027771,5,0,0,0,7,6,0,11,4,9,23,12,17,31,52,44,64,98,140,170,248,314,482,724,990,1399,1911,2453,2769,2900,2641,2423,2335,2128,1692,1088,790,533,339,181,91,63,22,9,7,13,4,5,3,3,2,1,5,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sample.duke_haase.89172460e95a11eaa54bacde48001122.experiment.duke_haase.ethanol_20200826_FLOW,experiment.duke_haase.ethanol_20200826_FLOW,,BL2-A,3.0528600215911865,0.5945299863815308,12,0,0,0,11,5,0,16,4,9,28,17,31,40,55,45,80,114,116,166,229,302,422,557,760,1014,1410,1786,2038,2371,2343,2065,1859,1644,1578,1255,1005,763,702,702,634,733,619,282,188,142,70,27,14,10,5,2,1,1,7,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sample.duke_haase.89172460e95a11eaa54bacde48001122.experiment.duke_haase.ethanol_20200826_FLOW,experiment.duke_haase.ethanol_20200826_FLOW,,BL3-A,2.996269941329956,0.5227699875831604,12,0,0,0,7,13,0,15,9,6,20,15,36,37,53,71,72,121,160,167,260,285,400,517,668,879,1137,1459,1697,2094,2263,2313,2224,1879,1775,1540,1334,1062,625,416,283,159,89,25,20,9,11,9,3,3,3,2,2,1,1,1,0,1,5,0,1,1,0,0,0,0,0,0,0,0,0
sample.duke_haase.89172460e95a11eaa54bacde48001122.experiment.duke_haase.ethanol_20200826_FLOW,experiment.duke_haase.ethanol_20200826_FLOW,,YL4-A,2.2631099224090576,0.5633500218391418,57,0,0,0,41,48,0,119,49,52,193,137,169,252,329,327,455,638,760,891,1124,1317,1588,1623,1726,1623,1488,1156,916,837,735,638,448,234,159,99,46,18,15,5,6,2,4,3,5,0,2,0,0,1,0,0,0,0,0,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
sample.duke_haase.89172460e95a11eaa54bacde48001122.experiment.duke_haase.ethanol_20200826_FLOW,experiment.duke_haase.ethanol_20200826_FLOW,,YL3-A,2.259740114212036,0.6256499886512756,72,0,0,0,74,69,0,130,71,69,218,139,211,288,421,440,599,765,899,1117,1357,1519,1781,1897,1825,1594,1207,889,686,570,537,522,586,676,562,243,172,129,47,27,13,8,7,4,2,2,1,0,1,0,0,0,0,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sample.duke_haase.89172460e95a11eaa54bacde48001122.experiment.duke_haase.ethanol_20200826_FLOW,experiment.duke_haase.ethanol_20200826_FLOW,,YL2-A,2.555619955062866,0.7008900046348572,37,0,0,0,38,41,0,87,37,43,117,101,120,155,273,290,381,537,649,829,1072,1251,1692,1746,1914,1977,1783,1607,1462,1304,1036,723,520,375,337,345,474,520,527,711,529,203,166,111,42,26,12,6,4,2,1,1,0,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
sample.duke_haase.89172460e95a11eaa54bacde48001122.experiment.duke_haase.ethanol_20200826_FLOW,experiment.duke_haase.ethanol_20200826_FLOW,,YL1-A,3.4332499504089355,0.7226399779319763,4,0,0,0,5,8,0,13,7,7,23,13,18,12,20,28,33,57,59,97,116,140,192,251,337,467,639,824,1085,1439,1644,1833,1976,1947,1769,1591,1524,1419,1442,1134,815,616,386,335,310,357,509,510,585,697,425,161,161,94,29,18,8,6,2,1,2,1,0,0,0,0,0,0,0,0,0
sample.duke_haase.89172460e95a11eaa54bacde48001122.experiment.duke_haase.ethanol_20200826_FLOW,experiment.duke_haase.ethanol_20200826_FLOW,,FSC-H,5.564169883728027,0.18729999661445618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,64,34,46,42,28,101,390,1319,2871,4511,6802,6382,5286,1883,159,5,0,0,0,0,0,0,0,0,0
