_id,sample_id,experiment_reference,experiment_id,lab,replicate,replicate_group,replicate_group_string,strain,strain_name,standard_type,control_type,media_type,inducer_type,inducer_concentration,inducer_concentration_unit,sample_contents,temperature,temperature_unit,timepoint,timepoint_unit,well,container_id,aliquot_id,od,fluor_gain_0.27,fluor_gain_0.25,fluor_gain_0.27/od,fluor_gain_0.25/od
5bee125189f10442ca0f7eb3,sample.transcriptic.aq1f7egq9ghqmvj.experiment.transcriptic.r1f7aux4qxty6b,NovelChassis-Endogenous-Promoter,experiment.transcriptic.r1f7aux4qxty6b,transcriptic,1,ee5541432126461affc4212cd4f34f0e9398d617,"B. subtilis 168 PmtlA-comKS | 30.0 | [21.0] | {""M9 Minimal Media w 50mg per L TRP"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",B. subtilis 168 PmtlA-comKS,,,EMPTY_VECTOR,,,,,['M9 Minimal Media w 50mg per L TRP|NA|NA'],30.0,celsius,21.0,hour,a1,ct1f7aux5cs3xhs,aq1f7egq9ghqmvj,0.10626500918899895,148.23100259078834,,1394.91827,
5bee125189f10442ca0f7eb3,sample.transcriptic.aq1f7egq9gjutzn.experiment.transcriptic.r1f7aux4qxty6b,NovelChassis-Endogenous-Promoter,experiment.transcriptic.r1f7aux4qxty6b,transcriptic,2,8d00eb5bd414c8a42db14873f7739cf81237a45b,"nor__p(ykoM) TSS-150__COL1 | 30.0 | [21.0] | {""M9 Minimal Media w 50mg per L TRP"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",nor__p(ykoM) TSS-150__COL1,,,,,,,,['M9 Minimal Media w 50mg per L TRP|NA|NA'],30.0,celsius,21.0,hour,b1,ct1f7aux5cs3xhs,aq1f7egq9gjutzn,0.07448000472015824,103.66034156292405,,1391.78753,
5bee125189f10442ca0f7eb3,sample.transcriptic.aq1f7egq9gkz25m.experiment.transcriptic.r1f7aux4qxty6b,NovelChassis-Endogenous-Promoter,experiment.transcriptic.r1f7aux4qxty6b,transcriptic,2,36ebbbbbe811082bcffeda0578c732664b0d9c5a,"nor__p(yuiA) TSS-150__COL1 | 30.0 | [21.0] | {""M9 Minimal Media w 50mg per L TRP"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",nor__p(yuiA) TSS-150__COL1,,,,,,,,['M9 Minimal Media w 50mg per L TRP|NA|NA'],30.0,celsius,21.0,hour,c1,ct1f7aux5cs3xhs,aq1f7egq9gkz25m,0.0919590086087502,126.41016466885972,,1374.63601,
5bee125189f10442ca0f7eb3,sample.transcriptic.aq1f7egq9gkz25q.experiment.transcriptic.r1f7aux4qxty6b,NovelChassis-Endogenous-Promoter,experiment.transcriptic.r1f7aux4qxty6b,transcriptic,2,bd26a450e3e0bc1254c243605c83973d7d6a2eea,"nor__p(rapC) TSS-150__COL1 | 30.0 | [21.0] | {""M9 Minimal Media w 50mg per L TRP"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",nor__p(rapC) TSS-150__COL1,,,,,,,,['M9 Minimal Media w 50mg per L TRP|NA|NA'],30.0,celsius,21.0,hour,d1,ct1f7aux5cs3xhs,aq1f7egq9gkz25q,0.0932418414922465,134.0759291506006,,1437.93738,
5bee125189f10442ca0f7eb3,sample.transcriptic.aq1f7egq9gn589q.experiment.transcriptic.r1f7aux4qxty6b,NovelChassis-Endogenous-Promoter,experiment.transcriptic.r1f7aux4qxty6b,transcriptic,2,1055a438a0b5d5de35ccf6abfbc6fb0aa95ff52f,"nor__p(bmrB) TSS-150__COL1 | 30.0 | [21.0] | {""M9 Minimal Media w 50mg per L TRP"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",nor__p(bmrB) TSS-150__COL1,,,,,,,,['M9 Minimal Media w 50mg per L TRP|NA|NA'],30.0,celsius,21.0,hour,e1,ct1f7aux5cs3xhs,aq1f7egq9gn589q,0.08876727516699288,126.83303276517952,,1428.82647,
5bee125189f10442ca0f7eb3,sample.transcriptic.aq1f7egq9gn589t.experiment.transcriptic.r1f7aux4qxty6b,NovelChassis-Endogenous-Promoter,experiment.transcriptic.r1f7aux4qxty6b,transcriptic,2,5ffbcff229b0a159616274177e00ba489d98990b,"nor__p(appF) TSS+48__COL1 | 30.0 | [21.0] | {""M9 Minimal Media w 50mg per L TRP"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",nor__p(appF) TSS+48__COL1,,,,,,,,['M9 Minimal Media w 50mg per L TRP|NA|NA'],30.0,celsius,21.0,hour,f1,ct1f7aux5cs3xhs,aq1f7egq9gn589t,0.09813217278661324,123.78668886138134,,1261.42819,
5bee125189f10442ca0f7eb3,sample.transcriptic.aq1f7egq9gp9edr.experiment.transcriptic.r1f7aux4qxty6b,NovelChassis-Endogenous-Promoter,experiment.transcriptic.r1f7aux4qxty6b,transcriptic,2,98db788ada0942799a7e64afc7609bba0fe889cf,"nor__p(ybdN) TSS+48__COL1 | 30.0 | [21.0] | {""M9 Minimal Media w 50mg per L TRP"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",nor__p(ybdN) TSS+48__COL1,,,,,,,,['M9 Minimal Media w 50mg per L TRP|NA|NA'],30.0,celsius,21.0,hour,g1,ct1f7aux5cs3xhs,aq1f7egq9gp9edr,0.09081145480724712,125.97087672294597,,1387.16946,
5bee125189f10442ca0f7eb3,sample.transcriptic.aq1f7egq9gqdmhq.experiment.transcriptic.r1f7aux4qxty6b,NovelChassis-Endogenous-Promoter,experiment.transcriptic.r1f7aux4qxty6b,transcriptic,2,72d25141f950b6b30f3376b0f44416c46d7f5587,"or__p(metP) TSS-150__COL1 | 30.0 | [21.0] | {""M9 Minimal Media w 50mg per L TRP"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",or__p(metP) TSS-150__COL1,,,,,,,,['M9 Minimal Media w 50mg per L TRP|NA|NA'],30.0,celsius,21.0,hour,h1,ct1f7aux5cs3xhs,aq1f7egq9gqdmhq,0.09373310113053955,133.70843642528104,,1426.48045,
5bee125189f10442ca0f7eb3,sample.transcriptic.aq1f7egq9gqdmht.experiment.transcriptic.r1f7aux4qxty6b,NovelChassis-Endogenous-Promoter,experiment.transcriptic.r1f7aux4qxty6b,transcriptic,2,ee5541432126461affc4212cd4f34f0e9398d617,"B. subtilis 168 PmtlA-comKS | 30.0 | [21.0] | {""M9 Minimal Media w 50mg per L TRP"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",B. subtilis 168 PmtlA-comKS,,,EMPTY_VECTOR,,,,,['M9 Minimal Media w 50mg per L TRP|NA|NA'],30.0,celsius,21.0,hour,a2,ct1f7aux5cs3xhs,aq1f7egq9gqdmht,0.09706126342619449,143.0812158912703,,1474.13305,
5bee125189f10442ca0f7eb3,sample.transcriptic.aq1f7egq9grhtnr.experiment.transcriptic.r1f7aux4qxty6b,NovelChassis-Endogenous-Promoter,experiment.transcriptic.r1f7aux4qxty6b,transcriptic,3,8d00eb5bd414c8a42db14873f7739cf81237a45b,"nor__p(ykoM) TSS-150__COL1 | 30.0 | [21.0] | {""M9 Minimal Media w 50mg per L TRP"": [""""]} | PLATE_READER | NO_STANDARD_TYPE",nor__p(ykoM) TSS-150__COL1,,,,,,,,['M9 Minimal Media w 50mg per L TRP|NA|NA'],30.0,celsius,21.0,hour,b2,ct1f7aux5cs3xhs,aq1f7egq9grhtnr,0.09916020789169579,133.79140174724094,,1349.24487,
